brand,buyma_price,buyma_url,captured_at,name,profit_estimate
Loewe,47800,https://www.buyma.com/item/121110569/,2025-09-12T12:09:31.313305,中古 中古USED PRADA ショルダーバッグ ナイロン ロゴ ブラック 33995,N/A (Supplier not found or scout failed)
Loewe,51800,https://www.buyma.com/item/121191834/,2025-09-12T12:09:31.313305,中古 中古USED PRADA ハンドバッグ ナイロン レディース 黒 25511,N/A (Supplier not found or scout failed)
Loewe,45800,https://www.buyma.com/item/121112072/,2025-09-12T12:09:31.313305,中古 中古USED PRADA ショルダーバッグ ナイロン BT8994 ロゴ 70016,N/A (Supplier not found or scout failed)
