brand,buyma_discount_pct,buyma_list_price,buyma_price,buyma_sale_until,buyma_url,captured_at,name,profit_estimate
Loewe,,,47800,2025-11-04T23:59:59+09:00,https://www.buyma.com/item/121110569/,2025-09-12T12:23:13.233815,PRADA (プラダ) ショルダーバッグ・ポシェット レディース,N/A (Supplier not found or scout failed)
Loewe,,,51800,2025-11-05T23:59:59+09:00,https://www.buyma.com/item/121191834/,2025-09-12T12:23:13.233815,PRADA (プラダ) ハンドバッグ レディース,N/A (Supplier not found or scout failed)
Loewe,,,45800,2025-11-04T23:59:59+09:00,https://www.buyma.com/item/121112072/,2025-09-12T12:23:13.233815,PRADA (プラダ) ショルダーバッグ メンズ,N/A (Supplier not found or scout failed)
